"","Year","Tm","Home_win_pct","Home_Games","Home_Wins","Away_win_pct","Away_Games","Away_Wins"
"84",1880,"PRO",0.704545454545455,44,31,0.488372093023256,43,21
"85",1880,"TRO",0.48780487804878,41,20,0.5,42,21
"86",1880,"WOR",0.571428571428571,42,24,0.372093023255814,43,16
"87",1881,"BSN",0.463414634146341,41,19,0.452380952380952,42,19
"88",1881,"BUF",0.609756097560976,41,25,0.476190476190476,42,20
"89",1881,"CHC",0.761904761904762,42,32,0.571428571428571,42,24
"90",1881,"CLV",0.476190476190476,42,20,0.372093023255814,43,16
"91",1881,"DTN",0.547619047619048,42,23,0.428571428571429,42,18
"92",1881,"PRO",0.534883720930233,43,23,0.571428571428571,42,24
"93",1881,"TRO",0.558139534883721,43,24,0.357142857142857,42,15
"94",1881,"WOR",0.452380952380952,42,19,0.317073170731707,41,13
"95",1882,"BAL",0.212121212121212,33,7,0.292682926829268,41,12
"96",1882,"BSN",0.627906976744186,43,27,0.428571428571429,42,18
"97",1882,"BUF",0.666666666666667,39,26,0.422222222222222,45,19
"98",1882,"CHC",0.777777777777778,45,35,0.512820512820513,39,20
"99",1882,"CIN",0.738095238095238,42,31,0.631578947368421,38,24
"100",1882,"CLV",0.5,42,21,0.5,42,21
"101",1882,"DTN",0.558139534883721,43,24,0.418604651162791,43,18
"102",1882,"LOU",0.666666666666667,39,26,0.390243902439024,41,16
"103",1882,"PHA",0.538461538461538,39,21,0.555555555555556,36,20
"104",1882,"PIT",0.459459459459459,37,17,0.523809523809524,42,22
"105",1882,"PRO",0.714285714285714,42,30,0.523809523809524,42,22
"106",1882,"STL",0.545454545454545,44,24,0.361111111111111,36,13
"107",1882,"TRO",0.523809523809524,42,22,0.302325581395349,43,13
"108",1882,"WOR",0.285714285714286,42,12,0.142857142857143,42,6
"109",1883,"BAL",0.36734693877551,49,18,0.212765957446809,47,10
"110",1883,"BSN",0.836734693877551,49,41,0.448979591836735,49,22
"111",1883,"BUF",0.73469387755102,49,36,0.326530612244898,49,16
"112",1883,"CHC",0.73469387755102,49,36,0.469387755102041,49,23
"113",1883,"CIN",0.745098039215686,51,38,0.48936170212766,47,23
"114",1883,"CLV",0.63265306122449,49,31,0.470588235294118,51,24
"115",1883,"COL",0.382978723404255,47,18,0.28,50,14
"116",1883,"DTN",0.450980392156863,51,23,0.34,50,17
"117",1883,"LOU",0.617021276595745,47,29,0.450980392156863,51,23
"118",1883,"NYG",0.571428571428571,49,28,0.36734693877551,49,18
"119",1883,"NYP",0.617021276595745,47,29,0.5,50,25
"120",1883,"PHA",0.725490196078431,51,37,0.617021276595745,47,29
"121",1883,"PHI",0.18,50,9,0.163265306122449,49,8
"122",1883,"PIT",0.36734693877551,49,18,0.26530612244898,49,13
"123",1883,"PRO",0.693877551020408,49,34,0.489795918367347,49,24
"124",1883,"STL",0.714285714285714,49,35,0.612244897959184,49,30
"125",1884,"ALT",0.333333333333333,18,6,0,7,0
"126",1884,"BAL",0.736842105263158,57,42,0.411764705882353,51,21
"127",1884,"BLU",0.58,50,29,0.517857142857143,56,29
"128",1884,"BOS",0.596491228070175,57,34,0.444444444444444,54,24
"129",1884,"BRO",0.442307692307692,52,23,0.298245614035088,57,17
"130",1884,"BSN",0.714285714285714,56,40,0.55,60,33
"131",1884,"BUF",0.637931034482759,58,37,0.473684210526316,57,27
"132",1884,"CHC",0.684210526315789,57,39,0.410714285714286,56,23
"133",1884,"CIN",0.701754385964912,57,40,0.509090909090909,55,28
"134",1884,"CLV",0.392857142857143,56,22,0.228070175438596,57,13
"135",1884,"COL",0.690909090909091,55,38,0.563636363636364,55,31
"136",1884,"COR",0.673076923076923,52,35,0.641509433962264,53,34
"137",1884,"CPI",0.51219512195122,41,21,0.384615384615385,52,20
"138",1884,"DTN",0.310344827586207,58,18,0.178571428571429,56,10
"139",1884,"IND",0.272727272727273,55,15,0.254545454545455,55,14
"140",1884,"KCC",0.305555555555556,36,11,0.108695652173913,46,5
"141",1884,"LOU",0.732142857142857,56,41,0.5,54,27
"142",1884,"NYG",0.586206896551724,58,34,0.482758620689655,58,28
"143",1884,"NYP",0.763636363636364,55,42,0.578947368421053,57,33
"144",1884,"PHA",0.703703703703704,54,38,0.425925925925926,54,23
"145",1884,"PHI",0.333333333333333,57,19,0.357142857142857,56,20
"146",1884,"PHK",0.4,35,14,0.21875,32,7
"147",1884,"PIT",0.321428571428571,56,18,0.222222222222222,54,12
"148",1884,"PRO",0.789473684210526,57,45,0.684210526315789,57,39
"149",1884,"RIC",0.227272727272727,22,5,0.291666666666667,24,7
"150",1884,"SLM",0.890909090909091,55,49,0.76271186440678,59,45
"151",1884,"STL",0.690909090909091,55,38,0.527272727272727,55,29
"152",1884,"STP",NA,NA,NA,0.222222222222222,9,2
"153",1884,"TOL",0.509090909090909,55,28,0.327272727272727,55,18
"154",1884,"WAS",0.333333333333333,30,10,0.0606060606060606,33,2
"155",1884,"WHS",0.553846153846154,65,36,0.224489795918367,49,11
"156",1884,"WIL",0.142857142857143,7,1,0.0909090909090909,11,1
"157",1885,"BAL",0.527272727272727,55,29,0.218181818181818,55,12
"158",1885,"BRO",0.614035087719298,57,35,0.327272727272727,55,18
"159",1885,"BSN",0.406779661016949,59,24,0.407407407407407,54,22
"160",1885,"BUF",0.358490566037736,53,19,0.322033898305085,59,19
