Year,Tm,Home_win_pct,Home_Games,Home_Wins,Away_win_pct,Away_Games,Away_Wins,Difference,Absolute Difference
1967,HOU,0.567901235,81,46,0.283950617,81,23,0.283950617,0.283950617
1990,HOU,0.604938272,81,49,0.320987654,81,26,0.283950617,0.283950617
1987,BOS,0.625,80,50,0.341463415,82,28,0.283536585,0.283536585
1874,HAR,0.419354839,31,13,0.136363636,22,3,0.282991202,0.282991202
1896,PHI,0.608695652,69,42,0.327868852,61,20,0.2808268,0.2808268
1918,BRO,0.611111111,54,33,0.333333333,72,24,0.277777778,0.277777778
1884,PHA,0.703703704,54,38,0.425925926,54,23,0.277777778,0.277777778
1882,LOU,0.666666667,39,26,0.390243902,41,16,0.276422764,0.276422764
1953,CHC,0.558441558,77,43,0.282051282,78,22,0.276390276,0.276390276
1877,CIN,0.387096774,31,12,0.111111111,27,3,0.275985663,0.275985663
1898,BLN,0.763157895,76,58,0.487179487,78,38,0.275978408,0.275978408
1874,BAL,0.35,20,7,0.074074074,27,2,0.275925926,0.275925926
1901,BOS,0.710144928,69,49,0.434782609,69,30,0.275362319,0.275362319
1897,WHS,0.588235294,68,40,0.313432836,67,21,0.274802458,0.274802458
1890,BRO,0.783783784,74,58,0.509090909,55,28,0.274692875,0.274692875
1893,PIT,0.739726027,73,54,0.465517241,58,27,0.274208786,0.274208786
1884,CHC,0.684210526,57,39,0.410714286,56,23,0.273496241,0.273496241
1914,PHI,0.615384615,78,48,0.342105263,76,26,0.273279352,0.273279352
1902,CHW,0.666666667,72,48,0.393939394,66,26,0.272727273,0.272727273
1884,WAS,0.333333333,30,10,0.060606061,33,2,0.272727273,0.272727273
1915,BRO,0.653846154,78,51,0.381578947,76,29,0.272267206,0.272267206
1982,KCR,0.691358025,81,56,0.419753086,81,34,0.271604938,0.271604938
1963,HOU,0.543209877,81,44,0.271604938,81,22,0.271604938,0.271604938
1874,NYU,0.771428571,35,27,0.5,30,15,0.271428571,0.271428571
1899,CIN,0.647727273,88,57,0.376811594,69,26,0.270915679,0.270915679
